Link,brand,volume,description,ingredients,how_to_use,product_key
https://www.caretobeauty.com/us/eucerin-dermopure-oil-control-skin-renewal-treatment-40ml/,Eucerin,40ml,"Eucerin Dermopure Oil Control Skin Renewal Treatment is an innovative treatment specially designed to reduce the appearance of pimples, papules, and pustules, as well as to help fading acne marks. Its Hydroxy Complex is responsible to regenerate the skin, unclog pores, reduce bacterias, remove dead cells and prevent the appearance of new imperfections. The first signs of improvement are visible after one week of treatment, with a clear and softer skin surface. It can be used during pregnancy but not alongside with acne medical treatments.","Main Ingredients

10% of Hydroxy Complex (combination of Glycolic Acid, Salicylic Acid, and Gluconolactone) opens pores, removes dead cells and helps regeneration;
Licochalcone A reduces redness and calms minor inflammations.","How to use
Apply Eucerin Dermopure Oil Control Skin Renewal Treatment every evening onto the clean skin of face, neck, and cleavage, and gently massage. After that apply your usual skincare.",133
https://www.caretobeauty.com/us/rvb-lab-meso-fill-plumping-skin-renewal-serum-30ml/,RVB LAB,30ml,,Not found,Not found,133
https://www.caretobeauty.com/us/martiderm-night-renew-platinum-ampoules-soft-peeling/,Martiderm,x30,"Martiderm Night Renew Platinum Ampoules Soft Peeling is a soft peeling solution that not only removes dead skin cells but also boosts cellular turnover. Infused with 10% AHA, this product proves to be efficient when it comes to improving skin texture and achieving extra youthfulness and radiance. At the same time, the presence of 5% Marine Collagen offers a filling action that reduces wrinkles, while Hyaluronic Acid provides deep hydration. As a result, the skin looks plumper, softer and definitely more hydrated. Even more, the Martiderm Night Renew Platinum Ampoules Soft Peeling visibly fills in wrinkles and stimulates skin renewal. Last but not least, this advanced composition equally encourages the penetration of other night-time skincare products.","Main Ingredients 
 
10% AHA are natural substances that boost the skin regenerative and renewing process by gently exfoliating its surface; 
5% Marine Collagen has a powerful moisturizing action, protecting and giving structure to the skin at the same time; 
Hyaluronic Acid not only deeply nourishes the skin as it holds in the water content for long lasting hydration.","How to use 
Use Martiderm Night Renew Platinum Ampoules Soft Peeling as part of your evening routine. Apply the formula directly on the face, neck and chest area after cleansing and before the application of other products. Use one ampoule over a two-day period, using the lid and base provided to store it.",133
https://www.caretobeauty.com/us/eucerin-hyaluron-filler-night-peeling-serum-30ml/,Eucerin,30ml,"Eucerin Hyaluron-Filler 3x Effect Night Peeling & Serum 30ml (1.01floz) fills, renews and regenerates the skin through a triple-action formula that works towards smoother and more radiant skin during the night. In order to do so, this multipurpose product blends the moisturizing properties of a serum with the exfoliating benefits of a peeling. On one side, the creamy emulsion contains an effective AHA (alpha-hydroxy-acid) Complex and Glycine Saponin to refine texture and improve radiance. Simultaneously, the transparent gel combines High and Low Molecular Hyaluronic Acid to fill in wrinkles. The result? The skin is smoother and more illuminated whilst pores are refined. Both these compositions are suitable for all skin types and were specially formulated for a regular nighttime application.","Main Ingredients

High Molecular Hyaluronic Acid is responsible for smoothing the upper layers of the skin by reducing fine lines;
Low Molecular Hyaluronic Acid is able to penetrate deeply into the epidermal skin layers where deeper wrinkles originate;
Exclusive AHA Complex comprised of Glycolic Acid, Lactic Acid, and Gluconolactone (a Polyhydroxy Acid) gently but effectively exfoliates the skin and stimulates cell renewal;
Glycine Saponin has the ability to deeply penetrate the skin and stimulate Hyaluronic Acid production. It not only helps hydrate and plump the skin but also protects from free radicals helping fight aging signs.","How to use
Apply Eucerin Hyaluron-Filler 3x Effect Night Peeling & Serum 30ml (1.01floz) once a day, in the evening, to a well-cleansed face, neck and décolleté. Press the top of the dispenser in the middle to release the optimum combination of both formulas, then mix the two formulas together in the palm of the hand. This product may increase the skin's sensitivity to the sun, and should therefore be accompanied by a minimum SPF 30 day cream every day after using the product and for a week after use.",133
https://www.caretobeauty.com/us/sunewmed-vitamin-c-epidermal-dissolving-face-gel-120ml/,SunewMed+,120ml,"SunewMed+ Vitamin C Epidermal Dissolving Face Gel 120ml (4.06 fl oz) is a peeling gel designed to smooth and brighten the skin in just one minute. One of the bestselling products of the brand, this exfoliating gel removes dead skin cells, revealing a smoother skin texture, and an illuminated, rejuvenated, and more even complexion. Its formula contains a Vitamin C derivative, an antioxidant that shields the skin from oxidative damage which can accelerate aging. This ingredient also works to enhance skin radiance and reduce discolorations, promoting a more glowing appearance. Then, corn starch hydrolyzate helps to boost the skin's water content, resulting in enhanced softness and a supple feel.
Nourishing olive oil is another important component, ensuring the skin remains hydrated and soft. Additionally, the inclusion of petitgrain essential oil offers revitalizing benefits. All in all, this product delivers quick results, revealing brighter, smoother, and more youthful-looking skin.","Main Ingredients

Sodium Ascorbyl Phosphate is a derivative of Vitamin C. It has antioxidant effects, preventing environmental damage from free radicals. It also helps to brighten the skin and may help with collagen production;
Petitgrain Essential Oil helps tone the skin;
Corn Starch Hydrolyzate helps maintain moisture in the skin;
Olive Oil is rich in nourishing fatty acids such as oleic and linoleic acid. It also contains antioxidants like polyphenols, vitamin E and carotenoids, and squalene.","How to use
Apply a small amount of SunewMed+ Vitamin C Epidermal Dissolving Face Gel 120ml (4.06 fl oz) onto dry skin of the face, avoiding the eye area. Then, gently massage the skin for no longer than 1 minute. Finally, thoroughly rinse using lukewarm water. Use every two weeks.",133
https://www.caretobeauty.com/us/neostrata-refine-gel-plus-salicylic-100ml/,NeoStrata,100ml,"NeoStrata Clarify Gel Plus Salicylic 100ml (3.38fl oz) is a gel recommended for oily acne-prone skin, folliculitis, or keratosis pilaris. It has a  fluid gel texture, that allows this product to be easily applied to the face and/or body. With Glycolic Acid in its composition, this product removes dead skin cells from the top layer of the skin while also improving cell turnover. In turn, this helps even the texture and complexion of the skin. Also, with Salicylic Acid, this product not only helps unclog pores and control sebum production but also provides anti-inflammatory and antimicrobial actions. Moreover, the combination of Glycolic Acid and Salicylic Acid exfoliates the skin and deeply cleanses the pores from within. As a result, the skin becomes clearer and is more even, which gives a more radiant look.
Additionally, the elimination of the dead skin cells on the top layer of the skin helps the other products penetrate better, which leads to better results.","Main Ingredients

15% Glycolic acid not only removes dead skin cells from the top layer of the skin but also improves cell turnover that, as a result, helps even the skin texture;
2% Salicylic Acid not only helps unclog pores and control sebum production but also provides anti-inflammatory and antimicrobial actions.","How to use
Apply NeoStrata Clarify Gel Plus Salicylic 100ml (3.38fl oz) daily onto clean, dry skin in the morning and/or evening on the affected areas of the body. The frequency of use will always depend on your skin type, condition, and the sensitivity of your skin.",133
https://www.caretobeauty.com/us/nivea-derma-skin-clear-night-exfoliating-peeling-40ml/,Nivea,40ml,"Nivea Derma Skin Clear Night Exfoliating Peeling 40ml (1.35 fl oz)&nbsp;is an exfoliant specifically indicated for blemish-prone skin. With this in mind, this product has a formula containing 8% of Glycolic and Salicylic acids, that perform a chemical exfoliation and therefore remove dead skin cells and help unclog the pores. Subsequently, this promotes skin renewal and refines the complexion. Besides, Salicylic acid is coupled with Niacinamide to provide anti-inflammatory and sebum-regulating action. In this way, this product helps reduce and prevent the appearance of blemishes. Altogether, these ingredients work towards visibly clearer skin in just seven days.
As the name indicates, this night exfoliating peeling should be applied in the evening. And it will act overnight to fight blemishes.&nbsp;Clinically tested, this product has a vegan formula and is good not only for the skin but also for the planet. In conclusion, it effectively leaves the skin with fewer imperfections.","Main Ingredients

8% Glycolic acid and Salicylic acid are chemical exfoliants, which means they help remove dead skin cells and unclog the pores. Besides, Salicylic acid has anti-inflammatory, antibacterial, and sebum-regulating properties. As a result, these ingredients refine the complexion and reduce blemishes which, consequently, lends the skin a smoother and clearer complexion;
Niacinamide&nbsp;is a multi-functional ingredient that helps regulate excess sebum and minimize the appearance of blemishes. Besides, it has soothing and hydrating properties. Consequently, it helps reduce the appearance of blemishes and excess sebum while maintaining optimal levels of hydration.","How to use
Apply Nivea Derma Skin Clear Night Exfoliating Peeling 40ml (1.35 fl oz) to the previously clean face, avoiding the eye area. Apply once a day, in the evening.",133
https://www.caretobeauty.com/us/neostrata-resurface-high-potency-r-serumgel-50ml/,NeoStrata,50ml,"Neostrata Resurface High Potency R SerumGel&nbsp;is a powerful&nbsp;combination of three anti-aging ingredients: retinol, glycolic acid and citric acid. This innovative serum-gel texture makes it easier to apply on all skin types for maximum comfort and security. The formula contains a high dosage of glycolic acid, with 23% of this exfoliating chemical peel ingredient to ensure that the skin becomes smoother, blemishes and hyperpigmentation fade and the cellular turnover is boosted. Retinol has been proven many times as the best anti-aging molecule due to its ability to reduce wrinkles and boost collagen synthesis in order to increase the firmness of the skin. From the first application, the skin becomes smoother, more radiant and more flexible.","Main Ingredients

23% Glycolic Acid boosts cellular turnover to reduce wrinkles and exfoliates the skin, smoothing the texture;
2% Citric Acid exfoliates the skin, cleanses the pores and boosts radiance;
0.1% Retinol has antioxidant properties to fight free radicals and boosts collagen production to&nbsp;firm the skin.","How to use
Apply one pump of&nbsp;Neostrata Resurface High Potency R SerumGel in the evening, onto cleansed skin on the face, neck and chest. Use sunscreen in the morning.",133
https://www.caretobeauty.com/us/caudalie-vinoperfect-glycolic-peel-mask-75ml/,Caudalie,75ml,"Caudalie Vinoperfect Glycolic Peel Mask is a facial mask that eliminates dead skin cells to reveal a radiant and more even complexion. Now with an updated image and formula, this incredible mask presents a texture that is easy to apply on the skin and suitable for all skin types (not for sensitive skin).
96% of natural ingredients work together to deliver instant and visible results that last. Glycolic acid coupled with natural AHAs - lactic, tartaric, citric acid obtained directly from or through fermentation of corn, sugar cane, beets, wheat and grapes - contribute to eliminate dead skin cells, renew and brighten the skin. At the same time, viniferine helps to reduce the appearance of dark spots and boost the radiance of the skin. In as short as ten minutes, the skin reveals more bright and refined. Apply it twice a week to keep the skin with a healthy-looking glow!","Main Ingredients

Glycolic acid coupled with natural AHAs (lactic, tartaric, citric acid obtained directly from or through fermentation of corn, sugar cane, beets, wheat and grapes) contribute to eliminate dead skin cells, renew and brighten the skin;
Viniferine helps to reduce the appearance of dark spots and boost the radiance of the skin.","How to use
To begin with, apply a layer of Caudalie Vinoperfect Glycolic Peel Mask onto dry skin, avoiding the eye contour. Allow it 10 minutes and then proceed to rinse off the mask with abundant lukewarm water.",133
https://www.caretobeauty.com/us/embryolisse-active-night-peeling-40ml/,Embryolisse,40ml,"Embryolisse Active Night Peeling 40ml (1.35 fl oz)&nbsp;is a renewing cream specially designed to fight the stress off the skin during nighttime.&nbsp;With this in mind, this product provides a peeling action through exfoliation. For this purpose, it contains a natural AHA in the formula that will gently yet effectively remove dead skin cells and, therefore, lead to renewed skin in the morning. Nonetheless, this formula is gentle on the skin and provides nourishment at the same time thanks to a blend of oils, Shea butter, and Beeswax.
So, on one hand, this cream provides an active exfoliating effect that leads to renewed skin with fewer imperfections, refined skin texture, and more radiance. On the other hand, it keeps the skin comfortable and softer. In fact, this product is suitable for sensitive skin and daily application. In other words, this peeling cream is a great ally&nbsp;for busy women that notice a tired complexion as it renews the skin with a simple gesture!","Main Ingredients

AHA from natural origin gently exfoliates the skin to renew the complexion. As a result, this skin becomes softer, smoother, and more radiant;
Argan and Macadamia oils nourish and soften the skin;
Shea butter not only hydrates the skin but also provides it with protective and regenerative benefits. Therefore, it helps fight the damaging effects of external factors;
Beeswax hydrates the skin and forms a protective barrier, therefore, helping to protect the skin.&nbsp;","How to use
Apply Embryolisse Active Night Peeling 40ml (1.35 fl oz) to clean and dry face in the evening.",133
https://www.caretobeauty.com/us/neoretin-discrom-control-pigment-corrector-peel-pads-x6/,Neoretin,x6,"Neoretin Discrom Control Pigment Corrector Peel Pads is a home peeling system that eliminates dead skin cells and targets dark spots. These pure fiber pads are impregnated with a concentrated formula, suitable for all skin types, that perform a chemical and enzymatic exfoliation that renews the skin. Equally important, the pads feature a slightly rough surface that promotes a mechanical peeling as you massage it. In as short as 20 minutes, it boosts skin renewal and enhances the result of your depigmenting treatments.
Featuring powerful ingredients that grant visible renewing results, the formula helps to fade the intensity and appearance of your dark spots. RetinSphere&reg; Technology helps to renew and rejuvenate the skin while McZyme-C complex gently refines it. At the same time, stabilized vitamin C, kojic acid, niacinamide and ellagic acid visibly reduce the appearance of dark spots. In addition, Shikimic acid, glycolic acid, citric acid and salicylic acid help to eliminate dead skin cells and accelerate cellular turnover. Apply it once a week to enhance the action of your depigmenting treatments as well as to renew the skin!","Main Ingredients

RetinSphere&reg; Technology - new-generation retinoid - helps to renew and rejuvenate the skin;
2% Stabilised vitamin C, 3% kojic acid, 3% niacinamide and ellagic acid visibly reduce the appearance of dark spots;
5% Shikimic acid, 5% glycolic acid, 2% citric acid and 2% salicylic acid are chemical exfoliants that help to eliminate dead skin cells and accelerate cellular turnover;
McZyme-C complex is an enzymatic exfoliant agent that helps to gently refine the skin.","How to use
To begin with, gently cleanse the skin. The following step is to slide Neoretin Discrom Control Pigment Corrector Peel Pads onto the skin . Apply it in smooth and continuous circular motions for about 30 to 60 seconds. Then, allow it to act for about 20 minutes before removing, or leave it on the skin overnight. It is normal to experience a slight stinging sensation in early applications. Lastly, after the indicated time or on the next morning, rinse the skin thoroughly and follow with your favorite depigmenting serum and/or moisturizer. Apply it once a week.
Precautions
If any symptom of irritation occurs, remove immediately with abundant water. Do not apply to open wounds or swollen areas. Equally important, avoid the eyes and mucous membranes. Use a photoprotector before sun exposure the following day in order to minimize the risk of sun sensitivity.",133
https://www.caretobeauty.com/us/sesderma-acglicolic-liposomal-serum-30ml/,Sesderma,30ml,"Sesderma Acglicolic Liposomal Serum 30ml (1.01fl oz) is a light peeling, perfect for those who are fighting wrinkles and fine lines and are now starting to use Glycolic Acid. Specifically, with 6% of liposomal and free glycolic acid, this serum helps to remove the top layer of dead cells, boosting all other treatments and smoothing the skin texture. At the same time, moisturizing creams penetrate much more easily into the skin leaving it healthier and more radiant. In turn, this ends up allowing a cellular renewal thus giving a rejuvenated appearance to the complexion. In the end, the skin becomes softer to the touch and wrinkles and fine lines are reduced, while the skin is hydrated. Furthermore, this serum is perfect for all skin types as it absorbs easily into the skin without leaving a greasy or oily film. In addition, its composition gently enriches the epidermis without any irritation or redness.","Main Ingredients

Free and liposomal glycolic acid (6%) enhances the regeneration of the skin and reduce wrinkles and expression lines;
Ergothioneine and nano-encapsulated liposomal Vitamins C and E have great antioxidant power;
Ceramides help to restore the skin barrier;
Eryngium maritimum has a great regeneration power;
Boswellic and Hyaluronic Acids and Soy Extract soothe the skin and provide hydration and firmness.","How to use
Apply a few drops of Sesderma Acglicolic Liposomal Serum 30ml (1.01fl oz) on the hand. Then spread on the areas to be treated with a gentle massage. The product must be applied before the moisturizer, onto cleansed skin.",133
https://www.caretobeauty.com/us/svr-clairial-night-peel-50ml/,SVR,50ml,"SVR Clairial Night Peel&nbsp;is a daily care with peeling action that since the first application leads to a more clearer and radiant skin. With an innovating and easy form of application,&nbsp;night after night,&nbsp;it reduces brown spots promoting, in effect, a more homogeneous skin. Formulated with a depigment complex that acts in all steps of melanogenesis, SVR Clairial Night Peel is capable of acting in all types of brown spots. Besides, its unique formula combines a keratolytic action with softness, being suitable for all skin types including sensitive.&nbsp;","Main Ingredients

Depigmenting complex that acts in all steps of melanogenesis reducing all types of spots;
Niacinamide boosts the skin barrier repair process, prevents dehydration and also soothes the skin;
Papaya enzyme gently exfoliates and therefore accelerates depigmentation.","How to use
Apply SVR Clairial Night Peel in the evening, with a single brush stroke in a thin layer. Massage with fingertips until complete absorption.",133
